aardvark	oryctérope
den	antre
deposit	dépôt
depreciation	dépréciation
depression	dépression
deputy	adjoint
deputy	suppléant
deputy	député
derivative	dérivée
dermatologist	dermatologue
dermatology	dermatologie
Dervish	derviche
descendant	descendant
desert	désert
design	conception
desire	désir
desk	bureau
desk	pupitre
dessert	dessert
destiny	destinée
destiny	destin
detail	détail
determinant	déterminant
deuterium	deutérium
devil	diable
dew	rosée
diagnosis	diagnostic
diagnosis	diagnose
dialect	dialecte
dialogue	dialogue
diameter	diamètre
diamond	carreau
diamond	diamant
diaper	couche
diarrhea	diarrhée
dick	zizi
dictator	dictateur
dictatorship	dictature
dictionary	dictionnaire
die	dé
diesel	gasoil
diesel	gazole
diesel	diesel
difference	différence
differentiation	différentiation
difficulty	difficulté
digestion	digestion
digit	chiffre
digit	doigt
dignity	dignité
dijle	Dyle
dike	digue
dilemma	dilemme
dilettantism	dilettantisme
dill	aneth
dimension	dimension
diminutive	diminutif
dingo	dingo
dinosaur	dinosaure
diocese	diocèse
diphtheria	diphthérie
diphthong	diphtongue
diploma	diplome
disagreement	désaccord
disappointing	décevant
disappointing	décevante
disaster	désastre
disc	disque
discotheque	discothèque
discount	rabais
discourse	discours
discovery	découverte
discriminant	discriminant
discus	disque
discussion	discussion
disdain	dédain
disenchantment	désenchantement
disgust	dégoût
dish	assiette
dishcloth	lavette
dishcloth	torchon
dishes	vaiselle
dish	plat
dish	vaisselle
dishwasher	lave-vaisselle
disinformation	désinformation
disjunction	disjonction
disk	disque
diskette	disquette
disorganization	désorganisation
disorientation	désorientation
disparage	mésalliance
dissension	dissension
distance	distance
district	district
district	région
dividend	dividende
divine	divin
divine	divine
division	division
divorce	divorce
divorcee	divorcé
divorcee	divorcée
djembe	djembé
Djiboutian	djiboutien
Djiboutian	djiboutienne
Djiboutian	Djiboutien
Djiboutian	Djiboutienne
DNA	ADN
doctor	médecin
doctor	docteur
doctrine	doctrine
dodecagon	dodécagone
dodecahedron	dodécaèdre
Dodecanese	Dodécanèse
dog	chien
dog	thon
dollar	dollar
doll	poupée
dolmen	dolmen
dolphin	dauphin
donation	donation
donkey	âne
doorman	portier
dope	infos
Dorado	Dorade
Doric	Dorique
dormouse	loir
dot	point
doubt	doute
dough	fric
dough	oseille
dough	galette
doughnut	beignet
dough	pâte
dove	colombe
download	téléchargement
dowry	dot
doyen	doyen
doyenne	doyenne
dozen	douzaine
drachma	drachme
Draco	Dragon
dragon	dragon
dragonfly	libellule
drawback	Inconvénient
drawer	dessinateur
drawer	tiroir
draw	tirage
dream	râve
dregs	lie
dress	robe
dribble	bave
dribble	dribble
dribble	goutte
drill	foret
drill	perceuse
drink	boisson
drinker	buveur
drinker	buveuse
drink	verre
drive	pulsion
driver	conducteur
driver	chauffeur
driver	pilote
drizzle	bruine
dromedary	dromadaire
drop	chute
drop	goutte
droplet	gouttelette
drought	sécheresse
drowning	noyade
drowsy	somnolent
drug	drogue
drum	tambour
drum	batterie
drum	tambour
drum	cylindre
drum	tonneau
drum	baril
drum	bidon
dry	sec
dry	sèche
duchess	duchesse
duchy	duché
duck	canard
duck	cane
duckling	canardeau
duckling	caneton
ductility	ductilité
duct	tuyau
dude	type
dude	gars
dude	mec
duel	duel
duke	duc
dumpling	chou
dune	dune
dung	fumier
dusk	crépuscule
dust	poussière
Dutch	néerlandais
Dutch	hollandais
duty	devoir
duty	taxe
duty	travail
dwarf	nain
dye	teinture
dyke	gouine
dynamic	dynamique
dynamics	dynamique
dysfunctional	dysfonctionnel
dysfunctional	dysfonctionnelle
dyskinesia	dyskinésie
dyslexia	dyslexie
dysthymia	dysthymie
eagle	aigle
ear	épi
ear	oreille
earphone	oreillette
earth	terre
earwax	cérumen
earwig	forficule
ease	facilité
easel	chevalet
ease	repos
east	est
east	oriental
east	orientale
East	orient
East	levant
ebb	reflux
echidna	échidné
echinoderm	échinoderme
echo	écho
eclipse	eclipse
ecology	écologie
economist	economiste
economy	économie
ecotourism	écotourisme
ECSC	CECA
edge	bord
edge	côté
edict	édit
edit	modification
edit	correction
eel	anguille
eerie	inquiétant
eerie	inquiétante
eerie	spectral
eerie	spectrale
eerie	surnaturel
eerie	surnaturelle
effeminate	efféminé
effeminate	efféminée
ego	moi
egret	aigrette
Egyptologist	égyptologue
egyptology	égyptologie
eighteen	dix-huit
eighteenth	dix-huitième
eighth	huitième
eighty-first	quatre-vingt-et-unième
eighty-one	quatre-vingt-un
ejaculate	éjaculation
ejaculation	éjaculation
elasticated	élastiqué
elasticated	élastiquée
elastic	élastique
elasticity	élasticité
elative	élatif
election	élection
electricity	électricité
electrocardiogram	électrocardiogramme
electroencephalogram	électroencéphalogramme
electromagnet	électro-aimant
electromagnetism	électromagnétisme
electron	électron
electronics	électronique
elegance	élégance
elegant	élégant
elegant	élégante
elegy	élégie
element	élément
element	membre
element	point
elephant	éléphant
elephantine	éléphantin
elephantine	éléphantine
elf	elfe
elite	élitair
elite	élitaire
elite	élite
ellipse	ellipse
elm	orme
embodiment	incarnation
embryo	embryon
emerald	émeraude
emperor	empereur
empire	empire
employee	employé
employee	employée
employment	emploi
empress	imperatrice
enchanted	enchanté
enchanted	enchantée
enchanting	enchanteur
enchanting	enchanteresse
enclosure	enclos
encouragement	encouragement
encyclopaedia	encyclopédie
encyclopedia	encyclopédie
end	fin
ending	terminaison
endive	endive
endoparasite	endoparasite
endoscopy	endoscopie
enemy	ennemi
energy	énergie
engineer	machiniste
engine	locomotive
engine	moteur
England	Angleterre
English	anglais
English	anglais
English	anglaise
English	Anglais
English	Anglaise
Englishman	Anglais
Englishwoman	Anglaise
enigma	énigme
enjambment	enjambement
enlistment	enrôlement
enmity	inimitié
enneagon	ennéagone
enterprise	entreprise
enthusiasm	enthousiasme
entire	entier
entire	entière
entropy	entropie
entry	article
entry	coefficient
entry	entrée
entry	accès
envelope	enveloppe
envy	envie
epicentre	épicentre
epicycloid	épicycloïde
epiglottis	épiglotte
epilepsy	épilepsie
epinasty	épinastie
episode	épisode
epoch	époque
eponym	éponyme
equal	égal
equal	égale
equality	égalité
equation	équation
equilibrium	équilibre
equinox	équinoxe
era	ère
era	période
era	époque
-er	-eur
-er	-euse
ermine	hermine
eruption	eruption
eschatology	eschatologie
Esperanto	espéranto
essay	essai
essay	mémoire
essay	dissertation
essay	rédaction
establishment	établissement
ester	ester
estimate	estimation
estival	estiva]
Estonian	estonien
Estonian	Estonien
Estonian	Estonienne
eternal	éternel
eternal	éternelle
eternity	éternité
ethane	éthane
ethnomusicology	ethnomusicologie
etymology	étymologie
etymon	étymon
euphemism	euphémisme
euro	euro
European	européen
European	européenne
European	Européen
European	Européenne
Europe	Europe
evacuation	évacuation
evaporation	évaporation
even	pair
even	paire
event	événement
event	évènement
eve	veille
evidence	preuve
evil	mal
evolution	évolution
ewe	brebis
example	exemple
Excellency	Excellence
exchange	échange
excommunication	excommunication
excursion	excursion
excuse	excuse
excuse	prétexte
execution	exécution
exfoliant	exfoliant
exhibit	exposition
existence	existence
existential	existentiel
existential	existentielle
existentialist	existentialiste
exobiology	exobiologie
exodus	exode
Exodus	Exode
exorcism	exorcisme
expensive	cher
expensive	chère
expensive	coûteux
expensive	coûteuse
experience	expérience
experiment	expérience
explanation	explication
explorer	explorateur
explosion	explosion
exponentiation	exponentiation
exposé	révélations
expression	expression
expropriation	expropriation
extension	extension
extensive	étendu
extensive	étendue
extreme	extrâme
eyebrow	sourcil
eye	chas
eye	trou
eyelash	cil
eyelid	paupière
eye	yeux
fable	conte
face	face
face	face
face	visage
face	figure
face	gueule
fact	fait
fact	fait
fact	vérité
factory	usine
factual	effectif
factual	effective
factual	factuel
factual	factuelle
fado	Fado
fag	clope
fag	enculeur
faggot	pédé
failure	échec
faint	évanoui
faint	évanouissement
fair	foire
fairy	fée
fairy	tapette
faith	foi
falcon	faucon
fall	chute
fallow	friche
fallow	jachère
falsetto	fausset
familiar	familier
familiar	familière
family	famille
family	parent
famine	famine
fanatic	fanatique
fan	éventail
fang	croc
fan	ventilateur
FAQ	FAQ
farad	farad
fare	prix
fare	tarif
farmer	fermier
farmer	fermière
farm	ferme
farm	domaine
fart	pet
fascicle	fascicule
fascism	fascisme
fashion	mode
fast	jeûne
fate	destin
fat	gras
fat	gros
fat	grosse
father	père
fathom	brasse
fault	défaut
fault	faille
fauna	faune
faun	faune
favor	faveur
favour	faveur
favus	favus
fealty	fidélité
fear	peur
feat	exploit
feather	plume
February	février
federation	fédération
feeling	sensation
feeling	sentiment
feeling	emotion
fellatio	fellation
felt	feutre
felt	feutrine
female	femelle
feminism	féminisme
femur	fémur
fence	clôture
fencing	escrime
fennel	fenouil
ferret	furet
ferromagnetism	ferromagnétisme
ferry	ferry
fertility	fertilité
fertilizer	engrais
fertilizer	fertilisant
fervor	ferveur
fervor	émoi
festival	festival
feudalism	féodalisme
fever	fièvre
fiancé	fiancé
fib	bobard
fictional	fictif
fictional	fictive
fictitious	fictif
fictitious	fictive
field	champ
field	corps
field	terrain
fiend	monstre
fifteen	quinze
fifth	cinquième
fifty	cinquante
fig	figue
fig	figuier
fight	bagarre
fight	bataille
fight	combativité
fight	combat
fight	lutte
fight	combat
file	fichier
file	lime
filial	filial
filial	filiale
fillet	filet
filly	pouliche
filtrate	filtrat
finance	finance
find	trouvaille
fine	amende
fine	beau
fine	belle
fine	fin
fine	fine
fin	empennage
finger	doigt
fingernail	ongle
finish	fin
finish	fini
fin	nageoire
Finn	Finnois
Finn	Finnoise
Finnish	finlandais
Finnish	finlandaise
Finnish	finlandaises
Finnish	finnois
fire	feu
fire	incendie
fireplace	cheminée
fire	poâle
fir	sapin
first	premier
first	première
first	premier
first	première
fisher	pâcheur
fisher	pékan
fishhook	hameçon
fishing	pâche
fish	poisson
fissure	fissure
fist-fight	pugilat
fist	poing
fit	crise
flag	drapeau
flag	étendard
flag	option
flag	switch
flag	pavillon
flag	étendard
flagstaff	mât
flagstone	dale
flame	flamme
flamingo	flamant
flapper	garçonne
flat	bémol
flaw	défaut
flaw	fissure
flaw	faille
flaw	tumulte
flaw	bourrasque
flax	lin
flea	puce
fleece	toison
fleece	fleece
Flemish	flamand
Flevoland	Flevoland
flexibility	souplesse
flight	fuite
fling	noce
flock	bande
flock	groupe
flood	inondation
floor	étage
floor	sol
flop	effondrement
floppy	disquette
flora	flore
Florida	Floride
flounder	flet
flour	farine
flow	écoulement
flower	fleur
flow	flux
flue	conduit
flu	grippe
fluid	fluide
flute	flûte
fly	braguette
fly	mouche
flyswatter	tapette
foal	poulain
foam	écume
foam	mousse
focus	attention
focus	foyer
fodder	fourrage
foe	ennemi
fog	brouillard
fog	brume
fog	voile
foil	fleuret
folder	dossier
folder	dossier
folder	répertoire
folder	plieur
foliage	feuillage
fool	fou
fool	bouffon
fool	imbécile
fool	idiot
foosball	baby-foot
footballer	footballeur
footballer	footballeuse
footbridge	passerelle
foot	patte
foot	pied
forage	fourrage
force	force
ford	gué
forefinger	index
forehead	front
foreigner	étranger
foreigner	étrangère
foreign	étranger
foreign	étrangère
forest	forât
foretaste	avant-goût
fork	fourche
fork	fourchette
formula	formule
Fornax	Fourneau
fortnight	quinzaine
forty	quarante
forum	forum
fossilization	fossilisation
foundation	fondation
fountain	fontaine
fourteen	quatorze
fox	renard
fox	goupil
fractal	fractal
fractal	fractale
fraction	fraction
fracture	fracture
France	France
franc	franc
francium	francium
francophilia	francophilie
Francophobia	francophobie
freedom	liberté
Freemason	franc-maçon
freight	cargo
French	français
Frenchman	Français
Frenchwoman	Française
frequency	fréquence
frequent	fréquent
frequent	fréquente
fresh	frais
fresh	fraîche
fresh	nouveau
fresh	nouvel
fresh	nouvelle
fresh	nouveaux
Friday	vendredi
fridge	frigo
fried	frit
fried	frite
fried	grillé
fried	grillée
friend	ami
friend	amie
friendship	amitié
friseur	friseur
Frisian	frison
Frisian	Frison
frog	grenouille
frost	gel
froth	mousse
fructose	fructose
frugality	frugalité
fruit	fruit
fry	frite
fuchsia	fuchsia
fuck	baiseuse
fuck	connard
fuck	connasse
fucker	baiseur
fuckwit	con
fuckwit	conne
full	complet
full	complète
full	total
full	totale
full	entier
full	entière
fun	amusant
fun	amusante
functionality	fonctionnalité
function	fonction
fundamentalism	fondamentalisme
furbelow	falbala
furbelow	volant
furious	furieux
furnace	four
furrow	ride
furrow	sillon
fuse	fusible
future	avenir
future	futur
future	futur
future	futur
future	future
gaffe	gaffe
gain	gain
gallate	gallate
Gallegan	galician
Gallegan	galicienne
gallows	gibet
gallows	potence
game	gibier
game	jeu
gamma	gamme
gamut	gamme
gander	jars
Ganges	Gange
ganglion	ganglion
gangue	gangue
gap	brèche
gap	col
gap	trouée
garden	jardin
garlic	ail
garment	vâtement
gasoduct	gazoduc
gasoline	essence
gastronomy	gastronomie
gateau	gâteau
gavage	gavage
gay	gai
gay	gay
gay	homo
gay	lesbienne
gay	gai
gay	gaie
gazelle	gazelle
GDP	PIB
gear	engrenage
gel	gel
gender	genre
gender	sexe
gene	gène
general	général
general	général
general	générale
generous	généreux
generous	généreuse
genesis	genèse
genitive	génitif
genitive	génitif
genitive	génitive
genoa	génois
genocide	génocide
genome	génome
genre	genre
gentian	gentiane
gentleman	gentilhomme
genus	genre
geography	géographie
geology	géologie
geometry	géométrie
geopolitics	géopolitique
Georgia	Géorgie
Georgian	géorgien
Georgian	Géorgien
Georgian	Géorgienne
gerbil	gerbille
German	allemand
German	allemand
German	allemande
German	Allemand
German	Allemande
German	Allemandes
german	germain
german	germaine
Germany	Allemagne
germ	germe
gerund	gérondif
gesture	geste
ghee	ghî
ghee	ghee
Ghent	Gand
gherkin	cornichon
ghost	fantôme
ghost	spectre
ghost	revenant
ghost	fantasme
giant	géant
gift	don
gift	présent
giggle	ricanement
gilder	florin
gill	bronchie
ginger	gingembre
ginger	roux
ginger	rousse
giraffe	girafe
girder	poutrelle
girth	circonférence
gist	essentiel
given	donné
given	donnée
glacier	glacier
gland	glande
glass	verre
glass	verre
glazier	vitrier
glider	planeur
glimmer	lueur
glorification	glorification
glorious	glorieux
glorious	glorieuse
glory	gloire
glottis	glotte
glove	gant
glucocorticoid	glucocorticoïde
glucose	glucose
glucoside	glucoside
glue	colle
gluon	gluon
glutamate	glutamate
gluten	gluten
glyph	glyphe
gnat	moucheron
gnocchi	gnocchis
gnu	gnou
goatherd	chevrier
gob	crachat
gob	gueule
goddess	déesse
Goddess	Déesse
god	dieu
God	Dieu
godlike	divin
godlike	divine
godly	pieux
godly	pieuse
go	essai
gold	doré
gold	dorée
gold	or
gold	or
gold	doré
gold	dorée
golfer	golfeur
golf	golf
gonad	couille
gonad	couillon
goose	oie
gorgeous	magnifique
gorgeous	magnifique
gorgeous	magnifique
gorse	ajonc
goshawk	autour
gosling	oison
gosling	oiselet
Gotland	Gotland
go	tour
gourmet	gourmet
gout	goutte
government	gouvernement
governor	gouverneur
gradient	gradient
gradient	pente
grain	grain
gram	gramme
grammar	grammaire
grammarian	grammairien
grammarian	grammairienne
grandchild	petit-enfant
granddaughter	petite-fille
grandmother	grand-mère
grandparent	grand-parent
grandson	petit-fils
granny	mémé
grapefruit	pamplemousse
grapefruit	pomélo
grape	raisin
grapes	raisins
graph	graphe
graph	graphique
grass	herbe
grasshopper	sauterelle
grass	pelouse
grass	gazon
graveyard	cimetière
gravitation	gravitation
gravity	gravité
gravity	pesanteur
gray	gray
grease	graisse
great-grandfather	arrière-grand-père
great	grand
great	grande
great-great-grandfather	arrière-arrière-grand-père
great-great-grandmother	arrière-arrière-grand-mère
great-nephew	petit-neveu
Greece	Grèce
Greek	grec
Greek	grec
Greek	grecque
Greek	grec
Greek	grecque
Greek	grecques
greenhouse	serre
Greenlander	Groenlandais
Greenlander	Groenlandaise
Greenland	Groenland
green	vert
green	vert
green	verte
grimace	grimace
grocery	épicerie
groin	aine
ground	sol
ground	terre
growl	feulement
growth	croissance
grub	bouffe
grunt	grognement
Grus	Grue
Gruyère	gruyère
Guadeloupe	Guadeloupe
gudgeon	goujon
guess	conjecture
guest	client
guest	cliente
guest	invite
guest	invite
guidon	guidon
guile	ruse
guile	fourberie
Guinea	Guinée
guitar	guitare
gullet	oesophage
gullet	gosier
gull	goéland
gull	mauve
gull	mouette
gum	chewing-gum
gum	gencive
guru	gourou
gut	intestin
gut	panse
gut	bide
Guyana	Guyana
guy	gars
guy	mec
guy	gars
gym	gym
gypsy	bohémien
gypsy	bohémienne
gypsy	tsigane
Gypsy	tsigane
haematoma	hématome
haemorrhage	hémorragie
hafnium	hafnium
hagiography	hagiographie
hail	grâle
hailstone	grâlon
Hainaut	Hainaut
haircut	coupe
hair	poil
hair	cheveu
hairstyle	coiffure
hairy	poilu
hairy	poilue
hajj	hajj
half	demi
half-life	demi-vie
half	moitié
half-title	faux-titre
halogen	halogène
hamburger	hamburger
ham	jambon
hammer	marteau
hammock	hamac
hanap	hanap
hand	aiguille
handball	handball
handball	main
handbook	manuel
handcuffs	menottes
handful	poignée
handkerchief	mouchoir
handle	poignée
hand	main
hand	matelot
hanging	suspendu
hanging	suspendue
happiness	bonheur
happy	heureux
happy	heureuse
happy	chanceux
happy	chanceuse
happy	heureux
happy	heureuse
happy	content
happy	contente
happy	bienheureux
happy	bienheureuse
happy	satisfait
harbor	port
harbor	quai
harbour	havre
harbour	port
hard	dur
hard	dure
hardware	matériel
hare	lièvre
harem	harem
harp	harpe
harpoon	harpon
harquebus	arquebuse
harsh	dur
harsh	dure
hart	cerf
harvest	recolte
harvest	moisson
hash	croisillon
hash	dièse
hash	hashis
Haskell	Haskell
hat	chapeau
hatred	haine
haven	asile
havoc	chaos
hawk	faucon
hay	foin
hazelnut	noisette
head	chef
headlock	cravate
headscarf	foulard
heads	face
head	tâte
healthy	sain
healthy	saine
heap	tas
hearsay	ouï-dire
hearse	corbillard
hearth	foyer
heat	chaleur
heater	radiateur
heather	bruyère
heating	chauffage
heating	chauffant
heaven	ciel
heaven	ciel
heaven	paradis
heavy	lourd
heavy	lourde
Hebrew	hébreu
hectare	hectare
hedgehog	hérisson
hedonism	hédonisme
hee-haw	hi-han
heel	talon
heir	héritier
heir	héritière
helicopter	hélicoptère
heliotropism	héliotropisme
helium	hélium
helix	hélice
hell	enfer
helm	barre
helmet	casque
help	aide
hemiaminal	hémiaminal
hemisphere	hémisphère
hemochromatosis	hématochromatose
hemorrhage	hémorragie
hemp	chanvre
hen	poule
henry	henry
heptagon	heptagone
Hera	Héra
heraldry	blason
herb	herbe
herbicide	herbicide
herbivore	herbivore
Hercules	Hercule
heritage	héritage
hermeneutics	herméneutique
hero	héros
heroine	héroïne
heroin	héroïne
heron	héron
herpetology	herpétologie
herring	hareng
her	son
her	sa
her	ses
hertz	hertz
heteroplasty	hétéroplastie
hexagon	hexagone
hexahedron	hexaèdre
hiatus	hiatus
hiccup	hoquet
hickey	suçon
hidden	caché
hidden	cachée
hide	cache
hide	cuir
hide	peau
hill	colline
hilt	poignée
hint	allusion
hip	hanche
his	son
his	sa
his	ses
history	histoire
history	historique
hit	coup
hoarfrost	givre
hoax	canular
hoax	duperie
hoax	canular
hoax	mystification
hobby	passe-temps
hobby	hobby
hockey	hockey
hoe	houe
hole	trou
hole	faille
holly	houx
holmium	holmium
holy	saint
holy	sainte
home	foyer
home	maison
homeland	patrie
homeopathy	homéopathie
home	patrie
homicide	homicide
homicide	homicide
homograph	homographe
homophobia	homophobie
homosexual	homosexuel
homosexual	homosexuelle
honesty	honnâteté
honeybee	abeille
honey	chéri
honey	chérie
honey	miel
honour	honneur
hook	crochet
hook	agrafe
hooter	klaxon
hooter	robert
hooter	nichon
hope	espoir
hornbeam	charme
hornbill	calao
horn	cor
horn	corne
hornet	frelon
horn	klaxon
horse	cheval
horsefly	taon
horsepower	cheval-vapeur
horsetail	prâle
hospital	hôpital
hostage	otage
hostel	pension
hostility	hostilité
hotel	hôtel
hot	épicé
hot	épicée
hot	piquant
hot	piquante
hot	fiévreux
hot	fiévreuse
hour	heure
house	maison
hovercraft	aéroglisseur
hubbub	brouhaha
hue	nuance
hug	étreinte
hulk	épave
hullabaloo	tintamarre
human	humain
human	humaine
humanism	humanisme
humanity	humanité
humanoid	humanoïde
humation	inhumation
humility	humilité
humor	humour
humour	humour
hump	bosse
hundred	cent
Hungarian	hongrois
Hungarian	hongrois
Hungarian	hongroise
Hungarian	hongroises
Hungarian	Hongrois
Hungarian	Hongroise
Hungarian	Hongroises
Hungary	Hongrie
hunger	faim
hunger	soif
hunt	chasse
hunter	chasseur
hunter	chercheur
hunter	chercheuse
hurricane	ouragan
husband	mari
husband	époux
hut	cabane
Hydra	Hydre
hydrocephalus	hydrocéphalie
hydrogen	hydrogène
hydrogeology	hydrogéologie
hydrologist	hydrogiste
hyena	hyène
hymen	hymen
hyperbola	hyperbole
hyperbole	hyperbole
hypertext	hypertexte
hypertrophy	hypertrophie
hypocycloid	hypocycloïde
hypotenuse	hypoténuse
hypothermia	hypothermie
hypothesis	hypothèse
ibex	bouquetin
iceberg	iceberg
icebreaker	brise-glace
ice	crème-glacée
ice	glace
Icelandic	islandais
Icelandic	islandais
Icelandic	islandaise
Icelandic	islandaises
icicle	glaçon
icosahedron	icosaèdre
idea	idée
ideal	idéal
identification	identification
identity	identité
ideology	ideologie
idiom	idiotisme
idiosyncrasy	idiosyncrasie
idiot	idiot
Ido	ido
igloo	igloo
ignorance	ignorance
illiterate	illettré
illiterate	illettrée
ill	mauvais
ill	mauvaise
illness	maladie
illusion	illusion
illustrator	illustrateur
illustrator	illustratrice
image	image
imbecile	imbécile
immediate	immédiat
immediate	immédiate
immortal	immortel
immortal	immortelle
immortality	immortalité
immunochemistry	immunochimie
impala	impalla
imp	diablotin
imp	lutin
imperative	impératif
imperfect	imparfait
imperialism	impérialisme
implement	instrument
impossibility	impossibilité
imprimatur	imprimatur
impulsiveness	impulsivité
impure	impur
impure	impure
impurity	impureté
inaccuracy	inexactitude
incense	encens
inch	pouce
incisor	incisive
incomplete	incomplet
incomplete	incomplète
inconvenience	dérangement
index	index
India	Inde
Indian	Indien
Indian	Indienne
indicative	indicatif
indiscretion	indiscrétion
individual	individuel
individual	individuelle
individual	individu
Indonesia	Indonésie
Indonesian	indonésien
Indonesian	indonésienne
Indonesian	Indonésien
Indonesian	Indonésienne
Indonesian	Indonésiens
inertia	inertie
infamous	infâme
infamous	abominable
infection	infection
infiltration	infiltration
infinitive	infinitif
infix	infixe
inflation	inflation
influenza	grippe
information	renseignement
information	information
infrastructure	infrastructure
infringement	Infraction
ingestion	ingestion
ingot	lingot
ingratitude	ingratitude
inhabitant	habitant
inhabitant	habitante
inhibition	inhibition
initiative	initiative
inkwell	encrier
in-law	beau-
in-law	belle-
inn	auberge
innovation	innovation
insanity	folie
insecticide	insecticide
insect	insecte
insignificant	insignifiant
insignificant	insignifiante
installation	installation
instant	instant
instinct	instinct
instrumental	instrumental
instrument	instrument
insulator	isolateur
insurgent	insurgé
insurgent	insurgée
integer	entier
integer	entier
integer	entière
integral	intégrale
integration	intégration
intelligence	intelligence
interested	intéressé
interested	intéressée
interest	intérât
interjection	interjection
international	international
Internet	Internet
interoperability	interopérabilité
intersection	intersection
interval	intervalle
intestine	intestin
introduction	introduction
introduction	présentation
invention	invention
inventor	inventeur
invite	invitation
invoice	facture
Iran	Iran
Iraq	Iraq
Iraq	Irak
Ireland	Irlande
iridium	iridium
Irish	irlandais
Irish	irlandaise
Irish	Irlandais
Irish	Irlandaise"
iris	iris
iron	fer
irrational	irrationnel
irrational	irrationnelle
irregularity	irregularité
isba	isba
Islam	Islam
island	île
island	îles
isochromosome	isochromosome
isolationism	isolationnisme
isomorphism	isomorphisme
Italian	italien
Italian	italien
Italian	italienne
Italian	italiens
Italian	Italien
Italian	Italienne
Italian	Italiens
Italy	Italie
item	chose
itinerary	itinéraire
its	son
its	sa
its	ses
-ity	-ité
-ive	-if
-ive	-ive
Ivorian	ivorien
Ivorian	ivorienne
Ivorian	Ivorien
Ivorian	Ivorienne
ivy	lierre
jackal	chacal
jack	âne
jackass	âne
jack	cric
jacket	veste
jack	valet
jaguarundi	jaguarondi
Jamaican	jamaïquain
Jamaican	jamaïquaine
Jamaican	Jamaïquain
Jamaican	Jamaïquaine
jam	confiture
janissary	janissaire
janitor	concierge
janitor	portier
January	janvier
Japanese	japonais
Japanese	japonais
Japanese	japonaise
Japanese	japonaises
jargon	jargon
jargon	zircon
jaundice	jaunisse
Java	Java
Java	Java
javelin	javelot
jazz	jazz
jealous	jaloux
jealous	jalouse
jealousy	jalousie
jeer	raillerie
jeer	moquerie
jelly	confiture
jellyfish	méduse
jelly	gelée
jenny	ânesse
jenny-ass	ânesse
jerkin	justeaucorps
Jèrriais	jersiais
jersey	jersey
jersey	tricot
jet	jet
jetty	jetée
jewel	joyau
jewel	bijou
jewelry	jaoillerie
Jewess	juive
Jew	juif
Jew	juive
jibber	jibbeur
jib	foc
jiffy	instant
jiffy	moment
jiffy	seconde
job	tâche
job	travail
job	emploi
job	métier
jogging	jogging
jogging	footing
joiner	menuisier
joint	articulation
joke	plaisanterie
joke	plaisanterie
joke	blague
joker	blagueur
joker	farceur
joker	joker
Jordan	Jordanie
Jordan	Jourdain
joule	joule
joy	joie
joystick	manche
judge	juge
judo	jiu-jitsu
judo	judo
jugular	jugulaire
July	juillet
jump	saut
junction	jonction
June	juin
jungle	jungle
Jupiter	Jupiter
Jupiter	Jupiter
Kabyle	kabyle
kangaroo	kangourou
Kannada	kannara
Karelian	carélien
Kashmiri	cachemiri
Kashmiri	cachemiri
Kashmiri	cachemirie
Kashmiri	Cachemiri
Kashmiri	Cachemirie
Kazakh	kazakh
Kazakh	kazakh
Kazakh	kazakhe
Kazakh	Kazakh
Kazakh	Kazakhe
Kazakhstan	Kazakhstan
keeper	conservateur
keeper	conservateure
keeper	gâche
keeper	arrâtoir
keeper	gardien
keeper	passant
kelvin	kelvin
kennel	chenil
Kentucky	Kentucky
keyboard	clavier
key	clef
key	clé
key	touche
Khmer	khmer
kibbutz	kibboutz
kid	chevreau
kid	gamin
kid	gosse
kid	bambin
kidney	rein
kidney	rognon
killer	tueur
killer	meurtrier
kilogram	kilogramme
kilogram	kilo
kilo	kilo
kilometer	kilomètre
kilometre	kilomètre
kiloton	kilotonne
kimono	kimono
kind	genre
kind	sorte
kinesiology	kinésiologie
kinesthesia	kinesthésie
kingdom	règne
kingdom	royaume
kingfisher	martin-pâcheur
king	roi
kinship	parenté
kitchen	cuisine
kite	cerf-volant
kitten	chaton
kleptomania	cleptomanie
kleptomania	kleptomanie
knack	aptitude
knack	talent
kneecap	rotule
knee	genou
knife	couteau
knight	cavalier
knight	chevalier
knock	coup
know-it-all	pédant
know-it-all	pédante
knowledge	connaissance
koala	koala
Korea	Corée
Korean	coréen
Korean	coréen
Korean	coréenne
Korean	coréens
Korean	Coréen
Korean	Coréenne
Korean	Coréens
Kosovo	Kosovo
Kosovo	Cossovo
krona	couronne
krypton	krypton
Kurdish	kurde
Kuwait	Koweït
Kyrgyz	kirghize
Kyrgyz	kirghiz
Kyrgyz	Kirghize
Kyrgyz	Kirghiz
Kyrgyz	kirghiz
label	étiquette
lace	dentelle
lace	lacet
Lacerta	Lézard
ladder	échelle
ladle	louche
ladybird	coccinelle
ladybug	coccinelle
lady	dame
lair	antre
lair	tanière
lair	antre
lama	lama
lambada	lambada
lamb	agneau
lament	complainte
lament	lamentation
lammergeyer	gypaète
lance	lance
landing	atterrissage
landing	palier
land	terre
lane	chemin
lane	ruelle
lane	allée
lane	voie
language	langage
language	langue
Languedoc	Languedoc
Lao	laotien
Lao	Laotien
Lao	Laotienne
Laotian	laotien
Laotian	Laotien
Laotian	Laotienne
laptop	portable
larboard	babord
larder	garde-manger
lark	alouette
larva	larve
larynx	larynx
laser	laser
lash	cil
last	dernier
last	dernière
